size;threshold;time_run1_ms;time_run2_ms;time_run3_ms;average_ms
500;5;49;41;37;42
500;10;31;30;30;30
500;20;25;24;24;24
500;30;24;24;24;24
500;50;20;20;20;20
600;5;55;44;44;47
600;10;36;35;35;35
600;20;29;28;28;28
600;30;28;28;28;28
600;50;24;24;24;24
700;5;63;58;60;60
700;10;51;50;49;50
700;20;40;40;40;40
700;30;33;33;42;36
700;50;28;28;29;28
800;5;77;75;75;75
800;10;61;60;59;60
800;20;48;47;48;47
800;30;39;36;37;37
800;50;32;32;32;32
900;5;81;77;76;78
900;10;63;61;60;61
900;20;54;53;53;53
900;30;45;44;43;44
900;50;43;43;43;43
1000;5;92;88;92;90
1000;10;74;73;71;72
1000;20;59;58;58;58
1000;30;59;58;57;58
1000;50;50;48;49;49
1100;5;106;96;95;99
1100;10;80;78;77;78
1100;20;64;65;64;64
1100;30;63;64;63;63
1100;50;53;53;53;53
1200;5;105;104;98;102
1200;10;80;81;79;80
1200;20;66;66;66;66
1200;30;66;65;62;64
1200;50;53;53;52;52
1300;5;107;100;98;101
1300;10;83;82;81;82
1300;20;70;70;69;69
1300;30;66;66;66;66
1300;50;58;63;59;60
1400;5;137;136;138;137
1400;10;122;121;119;120
1400;20;99;99;99;99
1400;30;81;80;81;80
1400;50;69;68;68;68
1500;5;160;142;140;147
1500;10;116;567;165;282
1500;20;100;512;231;281
1500;30;99;82;82;87
1500;50;72;72;72;72
1600;5;208;163;158;176
1600;10;127;125;125;125
1600;20;106;104;103;104
1600;30;119;107;106;110
1600;50;93;91;98;94
1700;5;208;192;186;195
1700;10;153;149;132;144
1700;20;111;111;114;112
1700;30;218;99;93;136
1700;50;93;93;93;93
1800;5;180;169;168;172
1800;10;140;137;149;142
1800;20;120;120;119;119
1800;30;118;100;98;105
1800;50;98;98;98;98
1900;5;188;175;174;179
1900;10;146;145;143;144
1900;20;121;126;120;122
1900;30;102;102;102;102
1900;50;103;101;101;101
2000;5;192;185;183;186
2000;10;154;152;150;152
2000;20;128;130;125;127
2000;30;125;125;124;124
2000;50;109;108;107;108
2100;5;196;190;190;192
2100;10;159;167;165;163
2100;20;188;143;163;164
2100;30;136;136;136;136
2100;50;117;116;116;116
2200;5;214;207;200;207
2200;10;164;162;161;162
2200;20;137;137;136;136
2200;30;620;149;139;302
2200;50;128;120;122;123
2300;5;220;241;222;227
2300;10;178;179;176;177
2300;20;150;149;150;149
2300;30;161;144;144;149
2300;50;126;127;126;126
2400;5;230;221;213;221
2400;10;180;179;178;179
2400;20;151;150;151;150
2400;30;151;149;156;152
2400;50;137;137;135;136
2500;5;240;233;229;234
2500;10;194;192;192;192
2500;20;163;167;163;164
2500;30;161;163;162;162
2500;50;142;142;141;141
2600;5;255;244;244;247
2600;10;214;203;204;207
2600;20;180;177;177;178
2600;30;168;166;167;167
2600;50;146;146;150;147
2700;5;356;255;253;288
2700;10;222;220;219;220
2700;20;205;201;201;202
2700;30;172;172;170;171
2700;50;158;158;159;158
2800;5;303;298;304;301
2800;10;965;261;256;494
2800;20;217;216;216;216
2800;30;186;184;183;184
2800;50;164;164;162;163
2900;5;342;324;339;335
2900;10;295;285;287;289
2900;20;241;239;238;239
2900;30;202;200;200;200
2900;50;180;182;181;181
3000;5;442;494;344;426
3000;10;283;279;278;280
3000;20;237;235;234;235
3000;30;209;201;200;203
3000;50;182;180;182;181
3100;5;360;348;358;355
3100;10;306;299;298;301
3100;20;254;252;252;252
3100;30;221;209;206;212
3100;50;186;186;184;185
3200;5;374;365;371;370
3200;10;311;329;307;315
3200;20;261;320;254;278
3200;30;257;220;215;230
3200;50;202;194;194;196
3300;5;382;370;367;373
3300;10;309;316;313;312
3300;20;266;263;263;264
3300;30;228;230;221;226
3300;50;221;220;220;220
3400;5;390;381;386;385
3400;10;317;493;315;375
3400;20;267;263;263;264
3400;30;228;227;227;227
3400;50;253;229;229;237
3500;5;401;389;387;392
3500;10;329;320;320;323
3500;20;272;272;270;271
3500;30;1849;417;440;902
3500;50;238;236;235;236
