size;threshold;time_run1_ms;time_run2_ms;time_run3_ms;average_ms
500;5;57;40;40;45
500;10;35;35;35;35
500;20;38;48;34;40
500;30;32;33;33;32
500;50;41;41;41;41
600;5;48;43;43;44
600;10;40;39;39;39
600;20;43;43;43;43
600;30;43;43;43;43
600;50;54;55;55;54
700;5;62;55;55;57
700;10;52;51;51;51
700;20;52;51;52;51
700;30;58;58;58;58
700;50;72;74;72;72
800;5;75;76;72;74
800;10;61;60;60;60
800;20;57;56;55;56
800;30;64;63;65;64
800;50;87;85;88;86
900;5;83;81;76;80
900;10;66;66;66;66
900;20;64;62;65;63
900;30;78;77;79;78
900;50;79;78;83;80
1000;5;88;85;85;86
1000;10;72;73;74;73
1000;20;75;73;76;74
1000;30;74;75;74;74
1000;50;93;89;89;90
1100;5;91;86;85;87
1100;10;78;77;78;77
1100;20;84;83;86;84
1100;30;88;86;84;86
1100;50;103;104;104;103
1200;5;98;96;94;96
1200;10;89;101;104;98
1200;20;110;110;111;110
1200;30;110;112;111;111
1200;50;162;241;124;175
1300;5;138;112;110;120
1300;10;111;110;276;165
1300;20;294;126;114;178
1300;30;115;116;110;113
1300;50;140;140;140;140
1400;5;130;124;124;126
1400;10;112;113;111;112
1400;20;107;109;113;109
1400;30;120;124;120;121
1400;50;153;152;151;152
1500;5;145;140;140;141
1500;10;119;117;117;117
1500;20;114;114;111;113
1500;30;127;132;127;128
1500;50;162;161;161;161
1600;5;151;144;143;146
1600;10;124;125;129;126
1600;20;136;137;137;136
1600;30;145;139;138;140
1600;50;182;181;181;181
1700;5;215;148;148;170
1700;10;128;127;126;127
1700;20;126;129;127;127
1700;30;147;147;147;147
1700;50;147;147;147;147
1800;5;158;153;152;154
1800;10;133;142;141;138
1800;20;150;149;149;149
1800;30;170;170;168;169
1800;50;170;169;167;168
1900;5;175;164;160;166
1900;10;150;149;147;148
1900;20;160;160;160;160
1900;30;182;182;172;178
1900;50;172;172;170;171
2000;5;174;168;169;170
2000;10;150;149;147;148
2000;20;163;160;455;259
2000;30;179;195;165;179
