size;time_run1_ms;time_run2_ms;time_run3_ms;time_run4_ms;time_run5_ms;time_run6_ms;time_run7_ms;time_run8_ms;time_run9_ms;med_ms
500;87;57;57;84;56;56;56;56;56;56
600;85;69;67;68;67;67;68;65;63;67
700;89;76;76;75;75;74;75;74;75;75
800;97;86;84;92;80;79;79;79;79;80
900;103;93;92;91;90;87;85;85;85;90
1000;100;94;94;93;93;92;93;98;87;93
1100;111;99;98;97;97;97;96;91;91;97
1200;108;102;101;100;100;100;100;101;95;100
1300;126;105;104;103;103;102;103;102;102;103
1400;120;107;105;105;105;105;104;105;104;105
1500;125;106;106;106;106;105;105;105;105;106
1600;125;113;112;112;112;112;112;111;112;112
1700;141;122;120;120;119;119;120;119;119;120
1800;157;128;128;228;128;127;127;127;127;128
1900;151;138;135;133;129;129;129;129;132;132
2000;144;131;130;129;124;124;124;124;125;125
2100;140;128;127;121;120;120;127;120;117;121
2200;154;123;122;121;119;117;117;117;112;119
2300;124;118;119;113;114;113;114;113;110;114
2400;144;114;113;113;114;113;108;109;109;113
2500;121;108;107;107;107;107;107;104;103;107
2600;128;105;102;101;101;101;105;101;97;101
2700;122;99;101;99;98;95;95;95;96;98
2800;99;95;95;94;94;94;97;94;94;94
2900;108;99;99;99;98;98;98;98;98;98
3000;120;102;103;101;101;151;102;101;101;102
3100;114;107;105;105;105;105;104;104;105;105
3200;111;109;109;108;108;113;115;110;108;109
3300;120;113;112;112;112;132;125;118;112;113
3400;120;117;116;115;115;115;115;115;115;115
3500;126;121;121;119;123;119;119;119;119;119
3600;127;123;122;122;123;123;124;123;123;123
3700;137;128;127;127;127;127;127;127;127;127
3800;137;131;130;130;132;129;130;129;129;130
3900;142;134;133;133;133;133;133;135;136;133
4000;140;136;136;136;136;136;135;135;135;136
4100;145;139;138;142;138;138;138;138;138;138
4200;151;145;144;144;143;144;146;143;142;144
4300;151;148;147;147;147;146;147;147;147;147
4400;160;151;150;153;157;157;157;156;157;157
4500;172;163;162;165;160;161;161;161;161;161
4600;168;162;159;193;221;162;160;160;161;162
4700;178;170;169;166;161;170;161;160;161;166
4800;167;165;163;164;164;164;164;164;167;164
4900;175;168;167;167;167;167;167;168;167;167
5000;175;172;175;171;171;171;171;171;171;171
5100;180;174;174;173;177;174;173;173;173;174
5200;185;179;179;178;177;185;188;191;191;185
5300;204;200;209;210;215;217;226;228;235;215
5400;247;245;255;261;266;264;275;281;282;264
5500;308;315;307;321;502;320;317;314;306;315
5600;307;300;289;289;283;279;279;270;266;283
5700;279;270;262;262;254;253;244;239;239;254
5800;245;238;236;226;226;220;219;215;215;226
5900;220;213;209;203;203;203;203;203;203;203
6000;211;211;207;206;206;207;207;206;207;207
6100;214;212;209;209;209;210;209;209;209;209
6200;222;215;214;214;214;213;213;243;214;214
6300;225;220;223;221;222;219;219;219;219;220
6400;239;222;220;222;221;221;220;220;221;221
6500;231;224;224;224;224;225;224;228;225;224
6600;231;228;228;227;230;229;242;238;239;230
6700;248;238;236;236;239;237;237;237;237;237
6800;245;242;241;241;244;242;241;240;240;241
6900;251;250;253;249;249;249;249;249;253;249
7000;260;258;289;255;255;254;254;257;253;255
7100;260;257;257;256;257;259;257;257;257;257
7200;265;261;261;265;261;260;260;260;259;261
7300;274;267;267;268;267;267;267;270;267;267
7400;273;269;270;268;269;272;268;269;268;269
7500;279;274;273;273;277;273;273;274;272;273
7600;278;279;277;276;277;276;277;405;502;277
7700;304;292;534;544;533;533;538;535;536;534
7800;554;551;541;541;541;590;543;543;550;543
7900;556;549;549;555;548;548;558;561;548;549
8000;585;712;303;277;279;276;283;276;278;279
8100;287;281;280;280;284;279;280;279;279;280
8200;288;282;287;282;281;281;281;281;282;282
8300;299;290;289;288;289;288;290;292;288;289
8400;296;295;293;292;293;290;290;290;290;292
8500;299;298;295;295;295;295;294;298;295;295
8600;315;320;301;300;306;306;306;310;313;306
8700;317;315;319;311;308;307;308;308;312;311
8800;325;312;313;313;321;323;323;327;327;323
8900;335;337;331;325;325;326;328;325;324;326
9000;331;328;332;328;327;327;327;331;334;328
9100;348;341;340;341;341;382;340;340;341;341
9200;343;347;342;343;343;342;345;342;342;343
9300;356;349;352;348;348;346;347;351;352;349
9400;356;353;353;353;355;351;352;352;352;353
9500;364;357;356;356;355;359;357;357;357;357
9600;372;352;351;350;375;355;351;350;350;351
9700;360;354;357;354;353;353;354;357;353;354
9800;367;357;356;357;365;367;367;367;366;366
9900;379;373;373;371;372;375;372;371;372;372
10000;378;378;374;374;374;373;378;374;373;374
10100;379;378;460;379;378;377;378;381;377;378
10200;383;378;379;382;378;379;387;390;388;382
10300;401;394;393;397;400;396;393;392;396;396
10400;402;399;399;402;398;398;398;398;401;399
10500;405;406;401;402;405;402;402;437;400;402
10600;405;1486;401;763;395;399;372;369;369;399
10700;378;382;373;373;372;372;375;372;373;373
10800;392;380;375;374;375;375;379;376;376;376
10900;386;381;386;381;381;381;382;790;595;382
11000;463;391;400;596;969;465;385;436;506;463
11100;507;484;479;454;444;388;387;466;400;454
11200;393;389;390;389;393;388;388;387;390;389
11300;403;395;394;394;395;394;446;393;401;395
