size;time_run1_ms;time_run2_ms;time_run3_ms;time_run4_ms;time_run5_ms;time_run6_ms;time_run7_ms;time_run8_ms;time_run9_ms;med_ms
500;71;41;36;49;31;185;33;30;28;36
600;75;55;56;41;52;38;38;38;36;41
700;65;53;47;45;43;39;36;1004;55;47
800;68;80;58;64;52;48;46;45;44;52
900;84;69;64;61;61;59;1684;71;61;64
1000;3156;179;75;461;106;65;65;120;62;106
1100;97;112;100;130;116;94;188;100;91;100
1200;171;123;116;86;116;420;84;113;130;116
1300;156;161;106;94;95;93;93;98;96;96
1400;112;101;94;96;98;134;101;108;95;101
1500;122;110;102;104;104;105;164;162;396;110
1600;240;140;137;119;116;112;114;119;114;119
1700;145;127;125;194;203;176;192;143;129;145
1800;155;137;130;129;128;126;126;130;129;129
1900;152;148;141;136;136;140;135;135;135;136
2000;150;146;147;145;145;141;145;146;141;145
2100;175;149;152;146;151;148;199;184;190;152
2200;488;173;155;154;156;152;150;148;176;155
2300;185;165;172;161;155;159;158;156;162;161
2400;180;176;170;168;168;175;167;164;165;168
2500;192;182;180;178;183;188;180;182;189;182
2600;208;196;221;190;185;470;213;197;350;208
2700;215;224;306;209;205;204;204;207;207;207
2800;222;240;203;201;202;223;211;197;200;203
2900;237;231;216;211;212;205;208;215;215;215
3000;251;230;216;215;218;215;218;219;216;218
3100;260;241;244;239;239;241;241;237;229;241
3200;243;241;238;239;250;233;273;242;255;242
3300;268;246;315;247;241;246;245;252;247;247
3400;988;331;283;277;267;263;248;445;387;283
3500;286;281;263;252;250;247;271;253;265;263
3600;276;269;275;264;276;264;259;256;254;264
3700;291;276;280;269;265;264;263;269;273;269
3800;286;287;282;276;275;272;278;281;274;278
3900;294;290;284;287;291;292;288;281;281;288
4000;300;530;425;721;381;373;307;314;290;373
4100;337;335;329;334;325;323;373;571;354;335
4200;453;347;314;331;320;315;309;307;315;315
4300;330;323;326;346;347;348;351;347;343;346
4400;366;359;349;355;349;348;357;350;349;350
4500;433;371;361;351;335;336;333;337;339;339
4600;356;345;362;367;370;368;364;405;368;367
4700;391;376;376;367;364;369;373;356;357;369
4800;387;385;394;385;390;380;381;375;380;385
4900;398;386;391;395;400;393;488;405;395;395
5000;430;418;379;398;376;374;383;373;392;383
5100;422;398;418;417;414;446;450;447;429;422
5200;443;415;401;395;397;395;389;400;393;397
5300;417;428;443;431;429;424;431;458;571;431
5400;464;477;471;446;440;434;432;420;429;440
5500;492;457;454;463;454;463;452;451;451;454
5600;481;466;460;456;443;425;427;427;432;443
5700;460;492;513;475;494;473;793;557;575;494
5800;519;497;498;491;496;492;488;491;497;496
5900;515;503;500;502;496;497;512;493;504;502
6000;518;511;503;509;507;499;503;506;642;507
6100;521;511;516;478;477;478;486;475;501;486
6200;553;532;531;523;517;511;544;521;520;523
6300;535;537;537;529;546;544;526;539;550;537
6400;544;631;558;544;554;542;539;548;553;548
6500;577;560;569;560;558;555;558;553;552;558
6600;571;563;573;568;563;556;573;601;568;568
6700;644;768;666;593;571;565;565;579;574;579
6800;584;590;579;576;582;579;574;578;576;579
6900;630;652;628;598;738;758;615;604;1375;630
7000;3968;884;669;740;596;628;638;617;616;638
7100;630;605;632;643;671;618;607;600;629;629
7200;616;605;735;624;609;617;616;603;675;616
7300;629;625;640;623;626;631;685;631;622;629
7400;635;643;659;638;623;628;632;634;867;635
7500;668;649;638;650;641;644;651;656;648;649
7600;659;655;647;657;644;642;648;640;647;647
7700;685;687;652;650;856;650;650;672;653;653
7800;674;684;670;669;667;656;665;659;661;667
7900;737;696;703;751;834;1753;678;727;671;727
8000;694;685;671;679;673;675;679;665;668;675
8100;695;693;702;695;701;697;693;683;689;695
8200;699;695;834;697;708;690;688;700;685;697
8300;719;718;704;702;699;714;705;706;711;706
8400;732;728;730;724;738;755;729;726;723;729
8500;748;744;726;716;721;712;710;705;709;716
8600;752;721;729;734;728;726;731;721;727;728
8700;815;733;736;736;738;728;728;734;732;734
8800;766;752;746;748;746;746;740;747;744;746
8900;772;803;840;924;1637;1118;762;827;878;840
9000;1041;1055;1120;1048;985;923;867;814;774;985
9100;751;721;721;725;929;769;780;739;716;739
9200;743;716;717;726;725;720;716;720;716;720
9300;744;734;727;735;733;731;737;1249;799;735
9400;825;804;904;813;798;1121;762;768;753;804
9500;781;756;748;757;750;759;798;867;1907;759
9600;867;910;967;1024;971;934;879;845;785;910
9700;802;770;764;770;757;762;768;967;780;770
9800;815;781;782;783;833;901;965;1056;1141;833
9900;1309;1409;1496;1428;1412;1242;1144;1068;1016;1309
10000;985;905;849;800;796;793;803;794;793;800
10100;840;805;805;803;892;797;807;803;801;805
10200;831;805;814;809;810;808;812;805;805;809
10300;845;816;821;813;825;852;962;823;817;823
10400;856;827;827;825;817;826;824;830;823;826
10500;898;940;1031;1123;1232;1465;1236;1154;1084;1123
10600;1065;949;903;851;844;843;840;849;843;849
10700;879;858;856;968;1014;852;853;851;858;858
10800;894;867;860;860;857;859;861;863;865;861
10900;906;879;868;925;872;876;893;892;887;887
11000;929;899;898;907;896;920;915;922;924;915
11100;969;931;1241;923;910;914;926;931;925;926
