size;time_run1_ms;time_run2_ms;time_run3_ms;time_run4_ms;time_run5_ms;time_run6_ms;time_run7_ms;time_run8_ms;time_run9_ms;med_ms
500;30;21;21;20;21;20;20;20;20;20
600;26;21;21;21;21;21;21;21;21;21
700;28;25;24;24;24;24;24;24;24;24
800;32;28;28;28;28;28;28;28;28;28
900;40;46;46;46;45;46;44;44;44;45
1000;51;49;49;63;48;48;49;48;48;49
1100;61;53;52;52;52;52;52;52;52;52
1200;64;58;57;57;55;55;55;55;55;55
1300;72;62;58;58;58;58;58;58;58;58
1400;69;62;68;62;60;60;60;60;60;60
1500;70;65;63;63;63;62;63;63;63;63
1600;70;69;65;65;65;65;65;65;66;65
1700;76;69;73;68;68;69;66;66;66;68
1800;74;71;71;68;69;68;68;68;68;68
1900;79;73;73;69;69;70;69;69;69;69
2000;76;71;70;74;70;70;70;70;70;70
2100;79;74;72;71;71;70;71;70;70;71
2200;79;74;74;75;74;74;74;74;74;74
2300;83;77;77;77;77;77;77;77;77;77
2400;84;81;81;81;81;81;81;81;81;81
2500;92;86;84;88;84;84;84;84;84;84
2600;91;87;87;87;87;87;87;86;86;87
2700;96;92;91;91;91;91;91;94;91;91
2800;97;95;94;95;95;94;94;94;95;95
2900;107;100;99;98;98;98;98;101;98;98
3000;103;101;101;101;101;101;106;245;102;101
3100;114;105;105;105;196;106;104;104;103;105
3200;112;108;108;108;108;109;108;108;108;108
3300;118;113;112;112;112;115;112;112;112;112
3400;120;115;115;116;115;115;115;115;115;115
3500;125;120;119;119;123;119;119;119;119;119
3600;126;123;122;122;122;125;128;127;127;125
3700;144;139;140;140;142;144;147;150;151;144
3800;170;153;152;151;146;146;146;146;144;146
3900;158;144;143;143;139;142;139;136;135;142
4000;145;136;136;136;135;136;136;136;135;136
4100;162;142;141;139;139;139;139;139;139;139
4200;151;144;144;144;144;147;144;144;144;144
4300;150;147;147;147;147;147;147;147;147;147
4400;272;151;151;151;151;151;151;150;150;151
4500;162;154;154;153;159;154;154;153;153;154
4600;159;156;156;155;155;155;158;155;155;155
4700;168;161;160;161;161;161;161;161;164;161
4800;166;164;163;163;164;164;163;163;163;163
4900;174;168;172;168;176;181;180;180;185;176
5000;192;189;188;183;181;179;179;179;179;181
5100;184;181;182;181;181;180;184;181;181;181
5200;193;187;186;186;186;188;186;190;186;186
5300;192;189;190;190;189;190;189;190;189;190
5400;492;263;195;194;197;194;196;193;198;196
5500;195;189;189;189;189;189;188;188;188;189
5600;199;196;192;191;191;191;191;189;190;191
5700;200;198;194;195;194;195;194;195;195;195
5800;204;199;198;199;198;198;198;198;197;198
5900;208;202;201;201;201;201;201;201;201;201
6000;214;212;216;217;222;228;235;238;246;222
6100;258;255;260;265;269;261;262;262;252;261
6200;258;251;278;243;237;235;235;228;226;237
6300;235;222;221;215;215;216;221;216;215;216
6400;231;219;219;218;217;218;222;219;218;219
6500;230;224;224;223;224;225;223;223;223;224
6600;230;227;227;230;227;226;231;233;238;230
6700;245;242;242;245;242;242;242;243;241;242
6800;250;246;249;246;246;245;251;251;254;249
6900;267;259;256;255;256;256;452;271;264;259
7000;265;257;253;252;247;424;336;522;263;263
7100;248;245;246;246;246;297;428;249;412;248
7200;461;449;359;249;248;255;259;252;247;255
7300;261;254;255;254;255;255;257;254;254;255
7400;260;257;257;257;260;257;256;256;256;257
7500;265;261;260;264;261;260;260;262;295;261
7600;270;263;263;263;263;263;263;263;266;263
7700;283;266;266;265;265;265;270;266;266;266
7800;278;271;270;270;274;269;270;270;270;270
7900;279;276;279;276;276;275;275;275;277;276
8000;294;277;281;282;286;288;292;294;296;288
8100;302;293;293;295;292;292;292;292;293;293
8200;303;297;510;312;293;289;289;295;288;295
8300;301;289;289;289;289;293;290;292;290;290
8400;297;294;296;293;293;293;293;294;294;294
8500;301;297;296;296;299;296;305;315;319;299
8600;339;347;349;353;343;343;335;329;325;343
8700;317;311;309;301;301;301;301;450;308;308
8800;318;304;305;308;307;306;323;334;337;308
8900;359;370;377;386;378;376;364;358;351;370
9000;351;340;330;324;314;312;311;315;313;315
9100;321;319;318;318;320;318;318;318;317;318
9200;321;317;316;317;318;317;321;318;318;318
9300;330;388;325;328;324;324;325;325;325;325
9400;334;327;327;326;326;326;347;342;333;327
9500;340;338;338;342;338;339;338;339;342;339
9600;355;358;358;358;360;357;358;358;358;358
9700;370;354;351;351;351;352;355;350;351;351
9800;365;368;418;364;360;579;686;685;689;418
9900;353;347;346;346;354;345;345;348;346;346
10000;354;348;347;346;346;346;350;348;347;347
10100;353;365;380;383;399;410;429;446;456;399
10200;481;485;486;822;447;469;490;480;470;481
10300;466;452;435;419;409;403;404;385;372;409
10400;380;366;359;359;359;359;363;360;359;359
10500;366;363;365;362;361;361;362;366;362;362
10600;370;368;367;368;371;368;1621;370;370;370
10700;374;376;370;371;371;370;371;373;370;371
10800;379;374;373;377;374;374;390;392;395;377
10900;397;390;389;394;412;409;400;398;402;398
11000;401;400;400;402;399;399;397;481;395;400
11100;399;402;406;410;405;405;404;405;406;405
11200;407;405;405;409;406;405;406;408;405;406
11300;418;408;412;409;408;409;409;414;419;409
11400;431;428;431;425;425;427;428;430;426;428
11500;586;441;1240;713;421;672;416;411;408;441
11600;414;410;413;410;408;409;410;414;411;410
11700;417;423;424;426;424;424;425;429;424;424
11800;433;441;452;441;437;437;440;629;514;441
11900;469;456;489;437;436;440;436;435;433;437
12000;443;434;435;437;440;435;436;435;435;435
12100;445;439;439;439;441;438;439;439;441;439
12200;449;441;442;442;445;443;632;484;443;443
12300;454;446;447;452;452;457;461;457;456;454
12400;471;464;461;461;461;465;462;465;464;464
12500;474;468;467;468;465;466;465;470;466;467
12600;472;469;472;588;542;475;468;458;468;472
12700;481;475;474;474;477;473;473;473;476;474
12800;475;474;476;474;474;474;478;474;474;474
12900;494;486;484;483;482;486;483;483;483;483
13000;626;490;486;482;461;452;459;458;455;461
13100;461;456;456;459;456;456;456;458;454;456
13200;460;458;462;457;458;458;461;457;457;458
13300;460;466;460;459;462;487;676;520;503;466
13400;503;477;467;468;470;467;474;467;471;470
13500;476;472;472;475;471;471;470;473;473;472
13600;475;473;476;472;473;473;472;476;472;473
13700;481;478;481;486;482;500;503;497;489;486
13800;492;493;489;503;511;516;514;514;517;511
13900;527;519;518;523;518;517;521;518;518;518
14000;526;522;524;523;528;526;523;582;521;524
14100;529;526;528;524;524;528;525;527;528;527
14200;532;531;532;531;531;528;532;528;529;531
14300;527;521;520;520;522;520;521;522;517;521
14400;638;594;535;534;535;540;537;538;536;537
14500;554;545;545;549;545;545;545;550;546;545
14600;551;552;547;548;547;549;546;547;550;548
14700;553;551;668;553;553;558;552;552;552;553
14800;558;552;551;555;551;551;557;554;553;553
14900;568;558;559;562;560;559;560;556;556;559
15000;570;563;562;677;565;563;565;563;562;563
15100;573;565;566;568;567;566;566;571;566;566
15200;573;571;566;566;570;579;582;586;581;573
15300;619;593;584;673;590;585;586;589;586;589
15400;597;583;580;577;573;579;576;576;578;578
15500;589;584;588;584;582;585;584;585;587;585
15600;587;581;586;598;855;673;641;585;572;587
15700;583;562;548;551;548;547;550;546;547;548
15800;551;553;550;550;554;551;549;549;553;551
15900;582;554;557;673;1177;1276;566;552;552;566
16000;564;555;556;555;559;556;555;560;554;556
16100;562;561;560;559;559;564;561;560;571;561
16200;591;588;655;574;573;575;578;574;574;575
16300;592;605;606;605;600;592;597;609;605;605
16400;637;626;621;621;627;621;624;621;621;621
16500;641;803;615;619;613;615;618;614;615;615
16600;624;618;620;616;617;619;619;616;619;619
16700;634;629;630;624;624;629;628;629;775;629
16800;625;623;632;630;629;632;627;631;631;630
16900;634;632;635;629;628;634;629;630;633;632
17000;640;639;640;635;634;640;1115;794;1217;640
17100;832;625;1111;601;731;598;598;602;601;602
17200;608;609;600;600;599;602;597;597;605;600
17300;612;723;613;610;615;610;610;611;607;611
17400;608;611;607;606;609;607;608;610;606;608
17500;620;616;616;615;618;614;634;670;672;618
