size;time_run1_ms;time_run2_ms;time_run3_ms;time_run4_ms;time_run5_ms;time_run6_ms;time_run7_ms;time_run8_ms;time_run9_ms;med_ms
500;33;24;23;23;24;23;23;16;24;23
600;17;17;17;18;17;17;17;17;17;17
700;21;20;21;20;20;20;20;20;21;20
800;24;24;24;25;23;24;23;24;24;24
900;27;27;27;27;27;27;27;27;27;27
1000;31;30;31;31;31;30;31;31;30;31
1100;34;35;34;33;35;34;34;34;34;34
1200;37;37;37;37;39;38;37;36;38;37
1300;42;40;41;41;47;41;41;41;65;41
1400;46;82;78;46;46;46;46;46;45;46
1500;50;48;48;77;47;49;49;47;49;49
1600;92;51;53;51;52;52;55;52;61;52
1700;60;59;63;62;62;61;119;58;60;61
1800;60;61;61;57;60;60;60;59;59;60
1900;62;63;63;119;62;63;65;66;80;63
2000;69;70;261;67;68;67;72;68;65;68
2100;70;70;134;87;73;150;70;69;71;71
2200;76;996;78;74;76;75;75;76;605;76
2300;78;80;78;76;96;80;78;78;78;78
2400;81;89;96;82;83;81;83;81;83;83
2500;87;87;89;84;86;84;85;85;86;86
2600;91;89;90;91;299;90;93;90;93;91
2700;97;95;93;93;92;106;95;96;95;95
2800;101;102;100;100;101;99;99;99;99;100
2900;103;99;99;101;109;223;102;105;100;102
3000;104;107;105;120;109;105;105;105;107;105
3100;111;114;109;115;117;114;189;261;110;114
3200;112;194;117;115;115;114;115;117;115;115
3300;118;122;117;116;123;126;119;197;165;122
3400;126;123;121;122;123;123;122;121;123;123
3500;125;123;127;133;126;128;128;127;128;127
3600;134;131;132;133;127;130;132;133;128;132
3700;143;135;140;188;135;133;133;137;132;135
3800;138;139;136;155;140;134;135;139;139;139
3900;141;142;143;146;158;165;144;158;234;146
4000;180;259;146;142;150;146;146;146;212;146
4100;154;165;153;153;152;156;151;153;153;153
4200;158;161;154;165;157;156;157;155;153;157
4300;153;161;159;156;159;159;161;170;160;159
4400;170;168;171;161;165;164;167;163;159;165
4500;168;173;167;170;164;182;235;248;206;173
4600;173;175;174;174;170;168;177;172;178;174
4700;177;178;174;180;175;179;178;174;179;178
4800;178;185;205;184;182;182;187;182;191;184
4900;192;188;202;191;194;185;184;184;183;188
5000;192;279;245;191;193;190;191;188;189;191
5100;190;189;201;190;196;188;190;189;196;190
5200;196;199;202;202;203;201;201;254;211;202
5300;221;216;203;457;226;244;207;313;204;221
5400;228;246;245;224;213;208;213;210;202;213
5500;279;227;225;234;219;215;214;230;254;227
5600;216;214;212;214;225;213;212;216;215;214
5700;212;215;216;218;220;212;215;215;238;215
5800;242;207;209;207;207;206;214;209;210;209
5900;219;214;217;214;211;215;210;215;215;215
6000;219;211;216;218;219;216;311;231;211;218
6100;220;217;221;221;219;213;220;219;222;220
6200;226;220;227;226;224;221;228;225;226;226
6300;227;224;226;228;238;247;247;243;242;238
6400;234;229;244;238;239;231;236;235;231;235
6500;231;241;240;236;236;232;231;237;231;236
6600;236;236;236;234;236;240;236;237;238;236
6700;243;247;249;242;244;245;236;242;243;243
6800;248;250;251;441;333;280;269;270;271;270
6900;272;288;270;253;255;246;252;258;248;255
7000;255;261;253;256;254;254;260;274;277;256
7100;273;255;264;271;264;265;266;260;257;264
7200;265;262;267;265;272;265;260;271;259;265
7300;272;274;268;274;271;265;266;271;272;271
7400;277;275;271;278;272;356;343;292;285;278
7500;277;283;273;281;276;285;282;270;280;280
7600;284;349;293;283;274;277;284;277;281;283
7700;284;284;281;298;303;312;306;295;299;298
7800;292;292;298;292;293;293;282;291;293;292
7900;296;296;295;287;293;293;288;289;293;293
8000;296;298;292;531;593;325;323;329;323;323
8100;321;332;317;298;303;435;534;421;323;323
8200;337;362;345;351;325;316;321;330;324;330
8300;324;310;305;305;310;306;318;313;309;310
8400;315;313;300;311;311;310;319;311;317;311
8500;324;316;322;317;323;464;567;532;323;323
8600;322;361;326;324;320;324;323;331;323;324
8700;329;329;322;328;325;326;322;323;330;326
8800;329;330;342;331;329;330;338;334;323;330
8900;338;333;339;330;338;333;332;334;328;333
9000;341;340;344;417;546;409;368;353;345;353
9100;347;341;341;341;346;340;349;335;347;341
9200;347;344;347;351;344;349;347;348;345;347
9300;346;349;344;357;345;348;350;345;357;348
9400;363;347;352;357;361;361;365;350;359;359
9500;360;362;362;450;357;357;356;364;371;362
9600;366;367;366;371;369;357;359;359;360;366
9700;379;358;359;365;361;373;373;368;372;368
9800;376;364;369;369;369;370;374;375;376;370
9900;384;381;388;390;380;375;373;375;384;381
10000;460;509;3649;793;599;414;405;427;410;460
10100;410;445;420;489;464;415;399;414;419;419
10200;451;1115;457;418;418;397;387;384;383;418
10300;398;395;395;399;393;394;397;393;389;395
10400;394;401;823;442;405;397;399;400;393;400
10500;401;400;401;403;401;409;399;409;406;401
10600;397;396;463;469;445;447;400;414;399;414
10700;401;409;425;417;412;399;409;415;409;409
10800;413;416;415;531;489;456;447;463;442;447
10900;457;446;461;466;446;455;451;464;445;455
11000;457;447;459;446;433;417;417;436;414;436
11100;422;456;428;419;447;425;446;427;426;427
11200;446;558;450;449;462;447;437;467;468;450
11300;473;447;450;462;461;432;441;469;473;461
11400;474;477;451;473;462;442;463;488;456;463
11500;459;461;441;470;482;441;461;452;443;459
11600;498;489;470;483;483;471;474;489;484;483
11700;490;488;493;475;486;474;486;495;482;486
11800;441;467;458;471;457;443;465;467;463;463
11900;450;458;455;455;459;513;454;465;462;458
12000;467;453;452;468;471;470;468;472;480;468
12100;477;465;464;483;466;468;475;467;468;468
12200;465;474;479;474;458;482;464;473;477;474
12300;478;485;502;500;510;503;513;511;504;503
12400;520;518;517;515;519;511;519;491;490;517
12500;490;490;485;481;492;506;501;495;490;490
12600;500;495;491;501;499;495;498;519;499;499
12700;506;503;491;504;509;504;500;492;496;503
12800;504;500;498;508;502;491;492;489;497;498
12900;504;500;514;507;502;510;503;498;503;503
13000;505;499;499;851;517;505;508;505;496;505
13100;518;515;513;518;508;515;518;523;506;515
13200;515;512;528;528;519;526;529;515;514;519
13300;524;520;522;525;525;800;668;518;523;524
13400;565;540;521;515;527;537;536;532;530;532
13500;520;524;541;529;537;523;528;519;532;528
13600;552;537;532;532;535;537;543;965;836;537
13700;2050;607;1431;609;589;550;534;541;528;589
13800;572;539;566;548;539;548;538;553;532;548
13900;542;574;558;554;548;551;548;548;562;551
14000;595;547;556;547;549;550;564;556;549;550
14100;563;562;564;561;562;548;555;546;570;562
14200;553;563;557;552;564;558;560;574;719;560
14300;604;608;615;600;609;616;601;589;605;605
14400;596;604;606;575;571;569;583;574;566;575
14500;571;587;577;562;569;570;577;599;611;577
14600;618;637;576;576;578;574;583;580;570;578
14700;576;587;588;586;573;569;580;587;590;586
14800;597;582;586;577;594;603;577;586;651;586
14900;641;632;630;598;600;610;592;582;590;600
15000;594;585;577;596;602;602;610;595;589;595
15100;629;595;600;610;590;587;720;630;615;610
15200;602;597;599;595;613;603;603;602;607;602
15300;620;624;614;626;612;607;612;601;607;612
15400;616;616;614;629;623;684;663;666;658;629
15500;667;657;670;665;658;658;647;660;667;660
15600;640;625;620;623;635;623;625;624;615;624
15700;637;625;631;756;657;633;621;636;626;633
15800;629;639;641;631;634;630;633;626;620;631
15900;632;641;635;635;632;640;632;632;630;632
16000;695;655;647;652;642;629;641;645;639;645
16100;637;637;649;645;636;651;653;642;647;645
16200;650;642;636;641;646;644;645;947;861;645
16300;886;960;669;649;657;657;651;654;652;657
16400;658;675;668;650;668;655;645;654;656;656
16500;656;667;729;663;658;675;657;668;652;663
16600;660;663;699;668;668;683;663;678;667;668
16700;656;660;675;665;687;671;671;1056;659;671
16800;675;674;675;681;681;667;683;663;669;675
16900;679;675;675;695;684;684;676;689;677;679
17000;682;1047;822;692;684;691;691;668;685;691
17100;677;690;700;692;710;695;702;700;683;695
17200;694;680;688;695;696;688;857;729;695;695
17300;679;682;696;693;693;696;710;707;695;695
17400;693;720;704;697;708;712;716;709;706;708
17500;701;1020;716;748;720;698;700;704;700;704
17600;721;725;727;732;714;714;709;712;717;717
17700;702;713;712;796;709;713;720;716;714;713
17800;715;731;720;729;720;728;734;711;710;720
17900;710;726;723;716;718;738;739;918;733;726
18000;746;729;721;729;733;740;734;720;716;729
18100;736;728;733;733;728;730;737;726;734;733
18200;741;957;750;739;736;742;738;747;730;741
18300;735;741;743;742;722;735;723;735;749;735
18400;740;747;742;748;934;784;749;731;743;747
18500;750;747;738;735;730;751;763;757;751;750
18600;758;756;747;768;766;758;751;962;765;758
18700;757;772;760;763;742;751;784;763;770;763
18800;767;755;754;770;762;750;794;770;761;762
18900;806;776;788;769;770;775;779;779;767;776
19000;757;767;765;783;787;766;765;755;780;766
19100;1036;793;773;777;872;860;780;769;766;780
19200;760;773;779;784;767;778;818;804;795;779
19300;783;800;1706;5854;3728;1896;1094;903;847;1094
19400;1212;817;794;810;798;807;790;781;806;806
19500;786;788;773;803;893;811;788;798;836;798
19600;867;829;795;801;794;809;792;808;791;801
19700;786;807;806;811;804;881;862;809;803;807
19800;818;819;809;818;835;812;818;817;821;818
19900;823;793;821;808;824;909;843;816;812;821
20000;809;809;819;823;812;839;828;803;826;819
20100;833;802;836;821;815;819;1023;893;878;833
20200;890;891;890;878;854;865;823;817;840;865
20300;842;861;827;831;824;837;891;828;824;831
20400;830;827;836;822;844;833;845;843;844;836
20500;826;842;829;832;831;836;847;938;865;836
20600;848;837;840;841;847;839;836;875;817;840
20700;880;835;850;849;837;843;1013;851;839;849
20800;838;854;859;847;852;839;854;860;858;854
20900;842;865;857;856;853;874;860;1616;864;860
21000;853;858;862;834;864;882;893;903;908;864
21100;858;888;922;940;940;932;1251;937;925;932
21200;934;926;936;931;923;924;928;874;862;926
21300;869;897;878;872;1031;989;872;855;865;872
21400;891;868;867;885;906;876;882;890;880;882
21500;881;887;895;891;1020;871;881;883;889;887
21600;915;892;891;895;869;882;881;899;900;892
21700;879;893;905;1073;953;974;984;969;965;965
21800;963;929;914;931;862;893;915;887;903;914
21900;899;885;943;909;913;900;895;899;894;899
22000;914;897;895;882;907;898;924;895;914;898
22100;921;1157;934;927;905;919;899;935;912;921
22200;923;918;913;899;927;911;907;918;928;918
22300;1030;924;905;908;931;914;923;907;914;914
22400;921;906;928;930;926;914;938;900;1041;926
22500;943;943;928;934;955;912;916;945;937;937
22600;930;930;922;935;932;914;1329;925;940;930
22700;939;940;928;927;927;938;929;935;927;929
22800;932;952;949;940;1228;1008;1006;1024;1018;1006
22900;1023;1015;990;941;948;934;944;939;934;944
23000;962;961;1200;948;958;965;1015;971;938;962
23100;956;967;947;942;939;948;968;938;949;948
23200;1467;981;1022;1129;954;991;966;953;955;981
23300;966;973;975;973;959;948;1038;971;965;971
23400;974;991;949;968;986;949;965;988;957;968
23500;960;1013;957;969;1296;964;971;997;969;969
23600;967;962;975;956;970;981;988;996;980;975
