size;time_run1_ms;time_run2_ms;time_run3_ms;time_run4_ms;time_run5_ms;time_run6_ms;time_run7_ms;time_run8_ms;time_run9_ms;med_ms
500;24;18;18;18;18;17;17;17;29;18
600;22;22;21;22;22;22;22;21;21;22
700;57;26;26;26;26;26;26;49;27;26
800;32;31;30;30;30;41;30;30;30;30
900;34;34;34;34;34;34;34;35;33;34
1000;38;39;38;38;39;39;37;37;38;38
1100;43;42;52;43;109;43;42;41;42;43
1200;48;56;51;52;55;54;55;54;64;54
1300;56;52;1089;74;64;62;60;61;61;61
1400;66;64;60;59;220;63;64;64;64;64
1500;150;69;69;79;112;70;64;60;61;69
1600;65;108;69;69;63;62;68;67;66;67
1700;68;64;65;156;68;69;69;67;67;68
1800;74;73;87;77;74;73;94;79;90;77
1900;85;82;109;88;88;87;77;80;78;85
2000;83;86;89;209;86;83;209;110;84;86
2100;87;87;91;87;86;150;88;117;120;88
2200;99;246;107;120;127;104;94;117;91;107
2300;205;105;119;92;106;98;97;97;97;98
2400;97;95;99;101;98;93;98;97;99;98
2500;100;103;105;137;108;111;118;104;99;105
2600;107;107;110;111;109;108;110;103;108;108
2700;114;113;116;120;121;114;114;121;134;116
2800;136;134;126;121;124;120;122;127;111;124
2900;136;130;507;204;172;133;124;124;124;133
3000;132;131;137;130;134;134;134;129;137;134
3100;133;133;133;135;133;132;132;146;137;133
3200;155;156;154;138;144;156;154;151;149;154
3300;140;141;156;158;154;145;143;143;145;145
3400;150;146;145;149;147;147;161;153;162;149
3500;157;170;164;150;151;153;155;159;165;157
3600;168;169;169;168;246;185;168;181;175;169
3700;166;160;162;166;160;164;160;162;168;162
3800;174;182;171;164;165;172;166;170;169;170
3900;170;183;171;174;171;171;170;171;177;171
4000;275;245;194;193;200;203;196;179;180;196
4100;191;201;182;188;200;188;203;203;191;191
4200;183;188;205;204;430;236;273;234;204;205
4300;257;217;213;205;203;205;214;206;211;211
4400;230;230;231;215;212;202;211;211;231;215
4500;233;202;203;214;222;293;204;189;205;205
4600;191;212;210;193;188;191;191;189;189;191
4700;199;193;197;195;190;195;198;197;198;197
4800;203;202;200;372;235;241;343;239;216;235
4900;236;242;231;234;225;251;215;203;204;231
5000;210;205;208;216;215;210;212;210;208;210
5100;212;213;212;209;219;208;212;216;214;212
5200;225;218;220;220;221;214;219;253;223;220
5300;252;271;251;229;219;225;225;226;221;226
5400;226;227;229;228;232;227;224;232;225;227
5500;230;239;235;235;238;232;234;230;234;234
5600;413;311;292;263;268;285;252;250;249;268
5700;272;404;254;243;247;245;243;245;244;245
5800;242;243;243;246;245;250;244;245;247;245
5900;251;258;255;253;251;249;255;247;247;251
6000;254;273;271;274;271;258;255;255;263;263
6100;267;263;265;260;257;251;259;251;258;259
6200;260;269;267;267;263;261;265;264;399;265
6300;286;274;267;272;270;282;266;264;264;270
6400;269;269;273;265;276;282;275;273;273;273
6500;278;283;278;276;275;274;277;280;280;278
6600;287;287;282;285;285;282;287;282;289;285
6700;303;290;291;285;287;287;283;290;296;290
6800;286;295;290;287;297;294;289;290;283;290
6900;366;518;337;336;340;307;304;295;295;336
7000;299;306;301;300;307;310;302;300;304;302
7100;299;308;302;309;314;310;311;311;316;310
7200;308;310;308;307;310;316;318;308;308;308
7300;314;313;311;315;311;309;314;311;314;313
7400;326;322;317;316;320;320;470;324;319;320
7500;326;323;328;328;329;333;330;324;326;328
7600;333;327;330;334;328;326;336;329;327;329
7700;336;334;334;336;333;329;325;333;328;333
7800;341;337;340;345;343;331;347;338;336;340
7900;342;342;345;349;343;346;344;342;854;344
8000;474;361;355;548;357;349;354;357;402;357
8100;356;352;350;350;350;356;355;357;353;353
8200;352;367;349;357;357;351;351;361;363;357
8300;361;367;359;394;360;361;366;367;364;364
8400;366;366;373;363;521;381;373;365;385;373
8500;376;385;381;372;370;372;367;372;372;372
8600;370;379;376;380;382;377;370;374;372;376
8700;389;386;381;378;369;387;385;380;377;381
8800;384;385;385;383;375;383;392;387;388;385
8900;635;445;426;404;404;414;407;427;440;426
9000;477;479;506;477;410;400;392;392;391;410
9100;420;404;414;426;446;438;428;440;406;426
9200;403;407;402;403;396;399;401;416;414;403
9300;441;435;409;417;410;419;407;409;406;410
9400;413;417;418;417;417;411;406;408;424;417
9500;420;420;419;415;417;417;409;412;427;417
9600;428;420;426;417;412;421;419;429;431;421
